NAME | DESCRIPTION
Panharmonicon {4} | If an artifact or creature entering causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Caesar, Legion's Emperor {1}{R}{W}{B} | Whenever you attack, you may sacrifice another creature. When you do, choose two — • Create two 1/1 red and white Soldier creature tokens with haste that are tapped and attacking. • You draw a card and you lose 1 life. • Caesar, Legion’s Emperor deals damage equal to the number of creature tokens you control to target opponent.
Charisma Bobblehead {3} | {T}: Add one mana of any color. {4}, {T}: Create X 1/1 white Soldier creature tokens, where X is the number of Bobbleheads you control. Activate only as a sorcery.
Nuka-Cola Vending Machine {3} | {1}, {T}: Create a Food token. (It’s an artifact with “{2}, {T}, Sacrifice this artifact: You gain 3 life.”) Whenever you sacrifice a Food, create a tapped Treasure token. (It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)
Dogmeat, Ever Loyal {R}{G}{W} | When Dogmeat enters, mill five cards, then return an Aura or Equipment card from your graveyard to your hand. Whenever a creature you control that’s enchanted or equipped attacks, create a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Luck Bobblehead {3} | {T}: Add one mana of any color. {1}, {T}: Roll X six-sided dice, where X is the number of Bobbleheads you control. Create a tapped Treasure token for each even result. If you rolled 6 exactly seven times, you win the game.
Animal Friend {1}{G} | Enchant creature Enchanted creature has “Whenever this creature attacks, create a 1/1 green Squirrel creature token. Put a +1/+1 counter on that token for each Aura and Equipment attached to this creature other than Animal Friend.”
Irrigated Farmland | ({T}: Add {W} or {U}.) Irrigated Farmland enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Dogmeat, Ever Loyal {R}{G}{W} | When Dogmeat enters, mill five cards, then return an Aura or Equipment card from your graveyard to your hand. Whenever a creature you control that’s enchanted or equipped attacks, create a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Solemn Simulacrum {4} | When Solemn Simulacrum enters, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. When Solemn Simulacrum dies, you may draw a card.
Rampaging Yao Guai {X}{G}{G}{G} | Vigilance, trample Rampaging Yao Guai enters with X +1/+1 counters on it. When Rampaging Yao Guai enters, destroy any number of target artifacts and/or enchantments with total mana value X or less.
Dr. Madison Li {U}{R}{W} | Whenever you cast an artifact spell, you get {E} (an energy counter). {T}, Pay {E}: Target creature gets +1/+0 and gains trample and haste until end of turn. {T}, Pay {E}{E}{E}: Draw a card. {T}, Pay {E}{E}{E}{E}{E}: Return target artifact card from your graveyard to the battlefield tapped.
Endurance Bobblehead {3} | {T}: Add one mana of any color. {3}, {T}: Up to X target creatures you control get +1/+0 and gain indestructible until end of turn, where X is the number of Bobbleheads you control as you activate this ability. Activate only as a sorcery.
Harold and Bob, First Numens {2}{G} | Vigilance, reach When Harold and Bob, First Numens dies, if it was a creature, return it to the battlefield. It’s an Aura enchantment with enchant Forest you control and “Enchanted Forest has ‘{T}: Add three mana of any one color. You get two rad counters.’” Harold and Bob loses all other abilities.
Sol Ring {1} | {T}: Add {C}{C}.
